Município Residência;BCG;DTP;DTP (1° Reforço);dTpa Adulto - Gestantes;Febre Amarela;Hepatite A Infantil;Hepatite B;Hepatite B (< 30 dias);Meningo C;Meningo C (1° Reforço);Penta (DTP/HepB/Hib);Pneumo 10;Pneumo 10 (1° Reforço);Polio Injetável (VIP);Polio Oral Bivalente;Rotavírus;Tríplice Viral - 1° Dose;Tríplice Viral - 2° Dose;Varicela
521640 - Paraúna;102,04%;107,14%;94,90%;113,27%;100,00%;98,98%;107,14%;98,98%;108,16%;112,24%;107,14%;108,16%;112,24%;108,16%;87,76%;106,12%;117,35%;96,94%;100,00%
521900 - Sanclerlândia;94,74%;94,74%;105,26%;100,00%;96,49%;108,77%;94,74%;98,25%;96,49%;114,04%;94,74%;103,51%;112,28%;94,74%;115,79%;103,51%;114,04%;108,77%;107,02%
522005 - São João da Paraúna;108,33%;58,33%;125,00%;133,33%;100,00%;133,33%;58,33%;108,33%;83,33%;133,33%;58,33%;100,00%;116,67%;58,33%;133,33%;100,00%;133,33%;108,33%;116,67%
522010 - São Luís de Montes Belos;94,71%;97,94%;85,59%;89,41%;94,41%;60,00%;97,65%;90,59%;111,76%;105,29%;97,65%;104,41%;97,94%;98,82%;83,53%;102,35%;107,35%;64,71%;61,47%
522150 - Turvânia;107,89%;107,89%;92,11%;97,37%;97,37%;94,74%;107,89%;100,00%;105,26%;78,95%;107,89%;113,16%;86,84%;107,89%;97,37%;110,53%;92,11%;92,11%;94,74%
Totais;85,36%;90,22%;83,72%;85,86%;80,35%;76,77%;89,28%;78,71%;96,87%;96,67%;90,17%;95,93%;95,88%;92,26%;87,39%;91,71%;95,63%;78,51%;68,93%
520085 - Americano do Brasil;86,96%;80,43%;102,17%;91,30%;108,70%;108,70%;86,96%;86,96%;86,96%;121,74%;80,43%;100,00%;91,30%;91,30%;106,52%;91,30%;108,70%;115,22%;95,65%
520215 - Araguapaz;146,43%;178,57%;217,86%;146,43%;200,00%;192,86%;178,57%;71,43%;225,00%;260,71%;178,57%;228,57%;239,29%;196,43%;232,14%;214,29%;257,14%;253,57%;260,71%
520250 - Aruanã;61,64%;59,59%;50,68%;61,64%;51,37%;60,27%;60,27%;56,16%;66,44%;71,23%;59,59%;68,49%;69,18%;59,59%;56,16%;59,59%;71,23%;59,59%;57,53%
520380 - Britânia;103,70%;111,11%;94,44%;77,78%;75,93%;87,04%;109,26%;109,26%;118,52%;105,56%;111,11%;120,37%;105,56%;116,67%;90,74%;120,37%;90,74%;77,78%;62,96%
520753 - Faina;80,00%;150,00%;146,67%;76,67%;130,00%;140,00%;150,00%;80,00%;146,67%;160,00%;150,00%;123,33%;143,33%;146,67%;136,67%;120,00%;146,67%;136,67%;153,33%
520890 - Goiás;92,05%;96,02%;71,02%;84,66%;76,14%;56,82%;96,02%;86,36%;103,98%;92,61%;96,02%;101,14%;93,18%;95,45%;74,43%;96,59%;87,50%;65,91%;68,18%
520929 - Guaraíta;123,08%;138,46%;61,54%;146,15%;92,31%;100,00%;138,46%;107,69%;107,69%;92,31%;138,46%;123,08%;100,00%;146,15%;100,00%;115,38%;92,31%;61,54%;69,23%
520960 - Heitoraí;95,45%;127,27%;122,73%;118,18%;109,09%;86,36%;127,27%;90,91%;136,36%;109,09%;127,27%;159,09%;109,09%;122,73%;127,27%;154,55%;104,55%;72,73%;77,27%
521040 - Itaberaí;100,89%;93,62%;82,98%;82,62%;88,48%;68,97%;93,62%;96,45%;98,05%;97,87%;93,44%;94,33%;96,81%;94,33%;86,35%;90,25%;96,45%;72,52%;44,50%
521100 - Itapirapuã;55,36%;87,50%;71,43%;64,29%;69,64%;64,29%;85,71%;44,64%;71,43%;80,36%;87,50%;98,21%;85,71%;80,36%;73,21%;94,64%;87,50%;60,71%;58,93%
521120 - Itapuranga;82,40%;93,20%;80,80%;74,00%;79,20%;80,40%;86,00%;76,80%;94,40%;90,40%;93,20%;86,00%;92,80%;93,20%;81,20%;85,60%;97,20%;80,00%;78,40%
521220 - Jussara;72,64%;72,14%;77,61%;83,58%;51,24%;75,12%;72,14%;61,69%;79,10%;76,12%;72,14%;79,10%;72,64%;74,13%;77,61%;79,10%;80,10%;68,66%;65,17%
521295 - Matrinchã;80,43%;82,61%;86,96%;78,26%;76,09%;80,43%;82,61%;73,91%;89,13%;82,61%;82,61%;100,00%;82,61%;84,78%;80,43%;95,65%;76,09%;80,43%;78,26%
521390 - Mossâmedes;104,00%;116,00%;104,00%;108,00%;112,00%;76,00%;116,00%;112,00%;148,00%;116,00%;116,00%;124,00%;124,00%;116,00%;96,00%;128,00%;116,00%;100,00%;100,00%
521400 - Mozarlândia;65,27%;77,25%;86,23%;119,76%;86,83%;89,82%;77,25%;62,28%;108,98%;121,56%;77,25%;104,19%;118,56%;101,80%;109,58%;94,01%;106,59%;92,81%;86,83%
521483 - Nova Crixás;69,08%;84,87%;78,29%;84,21%;68,42%;66,45%;82,89%;56,58%;77,63%;73,68%;84,87%;87,50%;84,21%;74,34%;76,97%;81,58%;84,21%;64,47%;64,47%
521925 - Santa Fé de Goiás;105,13%;112,82%;141,03%;133,33%;94,87%;128,21%;112,82%;97,44%;130,77%;135,90%;112,82%;120,51%;138,46%;112,82%;141,03%;120,51%;133,33%;133,33%;120,51%
;92,22%;87,51%;80,27%;87,55%;77,61%;77,42%;86,01%;87,79%;88,82%;93,20%;87,52%;94,83%;93,61%;87,92%;83,84%;90,41%;94,49%;74,74%;69,47%
Totais;95,11%;91,43%;81,65%;89,62%;84,29%;73,83%;91,20%;91,05%;95,71%;97,52%;91,43%;96,54%;97,22%;92,03%;85,64%;93,38%;97,22%;74,66%;70,30%
520357 - Bonópolis;112,90%;148,39%;164,52%;141,94%;167,74%;154,84%;145,16%;103,23%;129,03%;187,10%;148,39%;132,26%;190,32%;148,39%;141,94%;125,81%;187,10%;145,16%;148,39%
520465 - Campinaçu;93,33%;106,67%;100,00%;86,67%;103,33%;116,67%;106,67%;96,67%;106,67%;143,33%;106,67%;93,33%;166,67%;106,67%;113,33%;93,33%;156,67%;100,00%;83,33%
520750 - Estrela do Norte;95,45%;113,64%;136,36%;72,73%;122,73%;136,36%;113,64%;95,45%;109,09%;131,82%;113,64%;118,18%;127,27%;122,73%;127,27%;118,18%;145,45%;131,82%;140,91%
520810 - Formoso;76,32%;65,79%;115,79%;65,79%;76,32%;110,53%;65,79%;73,68%;73,68%;123,68%;65,79%;73,68%;118,42%;65,79%;110,53%;76,32%;134,21%;115,79%;110,53%
521308 - Minaçu;97,00%;94,00%;78,33%;85,33%;81,00%;63,67%;94,00%;95,00%;94,67%;88,33%;94,00%;97,33%;89,67%;95,00%;79,33%;95,33%;87,67%;79,33%;70,00%
521377 - Montividiu do Norte;107,41%;133,33%;122,22%;114,81%;122,22%;118,52%;133,33%;100,00%;137,04%;162,96%;133,33%;129,63%;155,56%;133,33%;125,93%;125,93%;162,96%;129,63%;118,52%
521405 - Mundo Novo;105,45%;100,00%;138,18%;120,00%;109,09%;129,09%;100,00%;103,64%;101,82%;120,00%;100,00%;110,91%;116,36%;100,00%;141,82%;101,82%;129,09%;127,27%;81,82%
521410 - Mutunópolis;102,22%;93,33%;82,22%;108,89%;93,33%;97,78%;91,11%;100,00%;102,22%;104,44%;93,33%;104,44%;102,22%;82,22%;77,78%;106,67%;100,00%;75,56%;75,56%
521525 - Novo Planalto;100,00%;117,50%;77,50%;57,50%;82,50%;77,50%;117,50%;72,50%;112,50%;67,50%;117,50%;122,50%;67,50%;117,50%;82,50%;117,50%;77,50%;90,00%;90,00%
521800 - Porangatu;92,81%;88,54%;63,37%;87,87%;78,65%;48,99%;88,31%;88,31%;94,61%;86,97%;88,76%;93,93%;86,07%;89,66%;71,24%;91,24%;83,82%;50,56%;49,21%
521960 - Santa Tereza de Goiás;54,90%;52,94%;45,10%;72,55%;54,90%;45,10%;52,94%;56,86%;64,71%;50,98%;52,94%;62,75%;49,02%;52,94%;45,10%;56,86%;45,10%;43,14%;47,06%
522020 - São Miguel do Araguaia;100,00%;87,04%;92,59%;96,30%;84,26%;93,06%;87,04%;95,37%;97,69%;111,57%;86,57%;94,44%;110,19%;87,96%;101,39%;88,89%;110,65%;81,94%;82,87%
522145 - Trombas;103,33%;56,67%;46,67%;66,67%;36,67%;53,33%;56,67%;100,00%;53,33%;56,67%;56,67%;76,67%;56,67%;60,00%;46,67%;73,33%;53,33%;26,67%;40,00%
Totais;92,39%;83,21%;76,09%;84,13%;71,77%;76,42%;80,45%;89,66%;83,82%;88,50%;83,21%;92,10%;89,79%;83,96%;80,00%;87,43%;90,08%;71,28%;67,80%
520010 - Abadiânia;95,06%;92,59%;99,38%;81,48%;83,33%;92,59%;91,36%;94,44%;93,21%;101,85%;92,59%;90,74%;101,23%;91,98%;94,44%;87,65%;104,94%;87,65%;85,80%
520030 - Alexânia;91,39%;84,11%;80,79%;95,36%;72,52%;77,48%;83,77%;86,75%;82,12%;86,09%;84,11%;94,37%;94,04%;87,09%;86,75%;87,42%;95,03%;78,48%;72,52%
520110 - Anápolis;92,24%;79,48%;72,10%;79,52%;68,63%;73,66%;76,05%;90,10%;80,41%;85,70%;79,48%;89,13%;86,82%;80,37%;76,88%;84,66%;86,63%;67,55%;63,85%
520485 - Campo Limpo de Goiás;102,40%;94,40%;85,60%;92,80%;73,60%;85,60%;93,60%;99,20%;92,80%;92,80%;94,40%;102,40%;91,20%;93,60%;80,00%;99,20%;96,00%;86,40%;76,00%
520551 - Cocalzinho de Goiás;103,03%;121,72%;102,53%;127,27%;110,61%;95,96%;121,21%;88,38%;122,73%;117,68%;121,72%;127,78%;119,19%;121,72%;98,99%;120,71%;116,67%;97,47%;92,42%
520580 - Corumbá de Goiás;92,86%;95,24%;78,57%;105,95%;80,95%;84,52%;96,43%;86,90%;100,00%;101,19%;95,24%;110,71%;97,62%;95,24%;77,38%;107,14%;104,76%;84,52%;91,67%
520815 - Gameleira de Goiás;90,63%;103,13%;75,00%;90,63%;78,13%;90,63%;103,13%;87,50%;90,63%;103,13%;103,13%;109,38%;100,00%;106,25%;106,25%;103,13%;100,00%;87,50%;90,63%
520840 - Goianápolis;91,22%;105,41%;108,78%;93,24%;96,62%;97,97%;105,41%;91,22%;100,00%;115,54%;105,41%;103,38%;116,22%;104,05%;106,76%;96,62%;116,22%;97,30%;95,95%
521730 - Pirenópolis;91,63%;88,45%;85,66%;108,76%;71,31%;77,29%;87,65%;88,45%;93,23%;91,24%;88,45%;94,82%;90,84%;87,65%;89,24%;90,04%;90,84%;64,94%;66,14%
522119 - Terezópolis de Goiás;63,41%;90,24%;74,39%;79,27%;75,61%;82,93%;89,02%;58,54%;82,93%;79,27%;90,24%;101,22%;86,59%;90,24%;76,83%;97,56%;100,00%;93,90%;91,46%
Totais;91,60%;96,87%;86,80%;95,73%;86,73%;84,27%;96,80%;84,67%;96,53%;105,13%;96,87%;99,20%;104,93%;97,27%;96,67%;95,33%;106,53%;83,80%;73,73%
520495 - Campos Verdes;102,22%;91,11%;100,00%;102,22%;93,33%;100,00%;91,11%;86,67%;95,56%;97,78%;91,11%;106,67%;93,33%;91,11%;97,78%;93,33%;104,44%;82,22%;84,44%
520500 - Carmo do Rio Verde;89,86%;115,94%;100,00%;84,06%;105,80%;102,90%;115,94%;85,51%;100,00%;133,33%;115,94%;91,30%;133,33%;118,84%;111,59%;97,10%;128,99%;91,30%;79,71%
520540 - Ceres;84,47%;83,56%;60,27%;93,61%;65,30%;72,60%;82,19%;79,00%;85,84%;80,37%;83,56%;90,41%;81,28%;83,56%;72,15%;86,76%;84,47%;60,73%;46,12%
520640 - Crixás;80,82%;93,15%;97,26%;97,26%;95,21%;83,56%;93,15%;80,82%;93,15%;117,12%;93,15%;86,99%;118,49%;95,21%;113,70%;82,88%;111,64%;92,47%;73,29%
520945 - Guarinos;100,00%;66,67%;100,00%;108,33%;91,67%;125,00%;75,00%;66,67%;58,33%;100,00%;66,67%;66,67%;108,33%;66,67%;116,67%;66,67%;108,33%;108,33%;133,33%
521015 - Ipiranga de Goiás;95,83%;108,33%;70,83%;95,83%;87,50%;75,00%;108,33%;95,83%;104,17%;125,00%;108,33%;120,83%;125,00%;108,33%;87,50%;120,83%;125,00%;75,00%;75,00%
521090 - Itapaci;68,28%;99,46%;87,63%;97,85%;94,09%;66,67%;96,24%;51,08%;102,15%;103,76%;99,46%;103,23%;101,61%;101,08%;97,31%;100,00%;103,76%;74,19%;67,74%
521385 - Morro Agudo de Goiás;112,12%;93,94%;78,79%;81,82%;81,82%;87,88%;93,94%;112,12%;100,00%;115,15%;93,94%;115,15%;124,24%;93,94%;93,94%;115,15%;121,21%;90,91%;93,94%
521470 - Nova América;108,70%;121,74%;69,57%;43,48%;108,70%;86,96%;121,74%;104,35%;130,43%;108,70%;121,74%;147,83%;113,04%;121,74%;86,96%;143,48%;121,74%;73,91%;73,91%
521486 - Nova Glória;65,38%;75,64%;55,13%;73,08%;56,41%;56,41%;75,64%;32,05%;76,92%;73,08%;75,64%;87,18%;69,23%;74,36%;74,36%;80,77%;74,36%;65,38%;62,82%
521690 - Pilar de Goiás;95,45%;95,45%;104,55%;127,27%;95,45%;90,91%;95,45%;104,55%;81,82%;100,00%;95,45%;90,91%;95,45%;90,91%;109,09%;86,36%;100,00%;100,00%;95,45%
521860 - Rialma;99,26%;82,96%;64,44%;82,22%;64,44%;67,41%;85,19%;92,59%;77,04%;88,89%;82,96%;90,37%;89,63%;82,22%;73,33%;83,70%;85,19%;62,22%;51,85%
521870 - Rianápolis;104,08%;75,51%;77,55%;97,96%;65,31%;79,59%;75,51%;100,00%;75,51%;83,67%;75,51%;85,71%;85,71%;75,51%;79,59%;79,59%;89,80%;85,71%;69,39%
521890 - Rubiataba;101,79%;102,98%;99,40%;105,95%;86,31%;92,86%;106,55%;100,60%;100,00%;114,29%;102,98%;95,83%;111,90%;102,98%;101,19%;93,45%;117,86%;97,02%;73,21%
521935 - Santa Isabel;113,64%;154,55%;150,00%;100,00%;122,73%;159,09%;154,55%;113,64%;150,00%;140,91%;154,55%;154,55%;140,91%;150,00%;159,09%;140,91%;140,91%;145,45%;118,18%
521970 - Santa Terezinha de Goiás;123,53%;116,18%;102,94%;116,18%;120,59%;110,29%;114,71%;119,12%;129,41%;119,12%;116,18%;130,88%;122,06%;120,59%;108,82%;122,06%;125,00%;101,47%;102,94%
522015 - São Luiz do Norte;106,33%;86,08%;79,75%;89,87%;75,95%;77,22%;86,08%;103,80%;88,61%;89,87%;86,08%;91,14%;91,14%;86,08%;82,28%;89,87%;93,67%;69,62%;77,22%
522028 - São Patrício;91,30%;121,74%;113,04%;78,26%;121,74%;121,74%;121,74%;91,30%;117,39%;126,09%;121,74%;108,70%;134,78%;113,04%;121,74%;104,35%;139,13%;113,04%;121,74%
522157 - Uirapuru;144,44%;211,11%;277,78%;200,00%;233,33%;255,56%;211,11%;133,33%;188,89%;244,44%;211,11%;188,89%;233,33%;200,00%;266,67%;200,00%;244,44%;288,89%;300,00%
522170 - Uruana;93,33%;116,67%;116,67%;111,11%;108,89%;98,89%;115,56%;91,11%;116,67%;144,44%;116,67%;112,22%;140,00%;118,89%;135,56%;108,89%;143,33%;114,44%;97,78%
Totais;90,47%;93,43%;85,46%;97,78%;88,09%;83,07%;93,34%;87,59%;93,43%;98,11%;93,43%;98,93%;98,03%;93,26%;87,51%;93,92%;101,81%;83,98%;74,45%
520055 - Alto Horizonte;114,47%;130,26%;100,00%;92,11%;123,68%;121,05%;130,26%;110,53%;126,32%;134,21%;130,26%;131,58%;127,63%;128,95%;117,11%;128,95%;135,53%;119,74%;125,00%
520082 - Amaralina;95,24%;85,71%;85,71%;133,33%;90,48%;85,71%;85,71%;90,48%;85,71%;95,24%;85,71%;109,52%;90,48%;85,71%;80,95%;100,00%;76,19%;85,71%;90,48%
520470 - Campinorte;110,61%;103,03%;68,94%;88,64%;89,39%;58,33%;103,03%;97,73%;104,55%;91,67%;103,03%;112,12%;96,97%;102,27%;84,85%;107,58%;100,76%;80,30%;70,45%
520552 - Colinas do Sul;74,29%;102,86%;71,43%;94,29%;100,00%;71,43%;102,86%;88,57%;102,86%;100,00%;102,86%;111,43%;94,29%;102,86%;68,57%;102,86%;97,14%;57,14%;57,14%
520980 - Hidrolina;75,76%;103,03%;78,79%;54,55%;115,15%;90,91%;103,03%;60,61%;96,97%;106,06%;103,03%;93,94%;103,03%;103,03%;81,82%;90,91%;109,09%;96,97%;96,97%
521280 - Mara Rosa;88,89%;86,32%;75,21%;67,52%;70,09%;70,94%;86,32%;88,03%;88,03%;84,62%;86,32%;91,45%;85,47%;87,18%;70,09%;89,74%;84,62%;68,38%;67,52%
521460 - Niquelândia;76,99%;81,29%;83,44%;86,50%;83,74%;79,75%;80,98%;73,31%;81,90%;92,33%;81,29%;93,25%;90,80%;81,29%;86,81%;89,26%;97,85%;80,67%;76,69%
521487 - Nova Iguaçu de Goiás;130,00%;145,00%;100,00%;120,00%;125,00%;105,00%;145,00%;95,00%;125,00%;120,00%;145,00%;135,00%;130,00%;140,00%;110,00%;145,00%;135,00%;110,00%;105,00%
522160 - Uruaçu;91,03%;91,68%;92,78%;117,94%;84,90%;88,62%;91,68%;92,34%;92,34%;100,00%;91,68%;93,00%;100,66%;91,68%;89,50%;85,56%;103,28%;85,34%;64,99%
Totais;91,29%;87,42%;84,11%;84,22%;77,80%;74,24%;87,02%;82,28%;90,99%;92,77%;87,47%;96,28%;91,70%;87,02%;82,48%;91,70%;92,62%;72,91%;67,77%
520320 - Barro Alto;88,71%;95,16%;84,68%;102,42%;70,97%;74,19%;94,35%;81,45%;91,94%;95,16%;95,16%;99,19%;95,16%;93,55%;92,74%;91,94%;103,23%;77,42%;61,29%
520860 - Goianésia;95,51%;91,73%;89,95%;83,33%;84,99%;80,73%;91,61%;92,79%;99,05%;98,70%;91,73%;100,59%;97,16%;90,78%;86,88%;98,35%;98,23%;76,60%;71,99%
521060 - Itaguaru;90,32%;100,00%;87,10%;145,16%;93,55%;83,87%;96,77%;90,32%;109,68%;103,23%;100,00%;129,03%;100,00%;103,23%;116,13%;119,35%;106,45%;93,55%;96,77%
521180 - Jaraguá;87,43%;92,61%;85,63%;86,23%;81,64%;68,26%;91,62%;63,87%;91,22%;91,82%;92,61%;100,20%;90,82%;91,82%;83,23%;92,42%;92,02%;76,45%;66,27%
521305 - Mimoso de Goiás;92,86%;114,29%;100,00%;200,00%;128,57%;121,43%;114,29%;100,00%;142,86%;128,57%;114,29%;157,14%;121,43%;114,29%;107,14%;135,71%;128,57%;135,71%;135,71%
521560 - Padre Bernardo;87,37%;64,25%;66,67%;64,25%;56,72%;62,90%;64,52%;80,38%;68,01%;75,27%;64,52%;75,00%;76,88%;65,59%;62,63%;70,97%;72,31%;51,61%;52,69%
521945 - Santa Rita do Novo Destino;166,67%;166,67%;200,00%;266,67%;200,00%;166,67%;166,67%;166,67%;166,67%;283,33%;166,67%;216,67%;283,33%;166,67%;216,67%;216,67%;283,33%;250,00%;233,33%
522230 - Vila Propício;87,14%;90,00%;80,00%;88,57%;60,00%;77,14%;88,57%;84,29%;87,14%;88,57%;90,00%;87,14%;78,57%;90,00%;80,00%;84,29%;88,57%;71,43%;78,57%
;86,18%;90,59%;85,15%;93,52%;80,20%;81,71%;89,92%;81,92%;92,01%;95,46%;90,58%;95,45%;94,81%;90,36%;87,69%;91,80%;98,51%;78,04%;73,28%
Totais;81,17%;90,39%;85,53%;92,48%;79,48%;80,09%;89,61%;76,64%;90,70%;92,63%;90,40%;96,86%;94,54%;90,98%;87,05%;92,25%;97,36%;75,78%;71,74%
520140 - Aparecida de Goiânia;75,99%;89,55%;86,11%;91,96%;78,74%;79,99%;88,74%;71,29%;90,32%;92,65%;89,54%;96,07%;92,88%;89,65%;86,77%;91,32%;96,87%;74,13%;71,44%
520180 - Aragoiânia;76,86%;66,12%;69,42%;104,13%;60,33%;75,21%;66,12%;67,77%;72,73%;78,51%;66,12%;91,74%;78,51%;66,12%;75,21%;85,12%;80,99%;66,12%;63,64%
520330 - Bela Vista de Goiás;62,99%;80,30%;76,42%;100,30%;65,07%;72,84%;78,21%;58,21%;75,52%;86,87%;80,30%;80,90%;86,27%;80,60%;73,73%;81,79%;95,82%;70,45%;61,79%
520355 - Bonfinópolis;98,02%;95,05%;90,10%;88,12%;89,11%;90,10%;94,06%;94,06%;90,10%;100,00%;94,06%;93,07%;105,94%;95,05%;80,20%;88,12%;91,09%;72,28%;65,35%
520455 - Caldazinha;102,22%;82,22%;62,22%;68,89%;68,89%;44,44%;82,22%;102,22%;91,11%;64,44%;82,22%;91,11%;73,33%;84,44%;60,00%;93,33%;71,11%;44,44%;51,11%
520545 - Cezarina;113,11%;106,56%;116,39%;103,28%;91,80%;95,08%;104,92%;101,64%;116,39%;114,75%;106,56%;121,31%;108,20%;114,75%;126,23%;109,84%;134,43%;109,84%;98,36%
520630 - Cristianópolis;91,18%;105,88%;97,06%;91,18%;102,94%;91,18%;105,88%;91,18%;88,24%;108,82%;105,88%;120,59%;135,29%;105,88%;100,00%;102,94%;138,24%;76,47%;70,59%
520650 - Cromínia;78,57%;89,29%;89,29%;67,86%;110,71%;89,29%;89,29%;78,57%;78,57%;89,29%;89,29%;89,29%;85,71%;89,29%;92,86%;75,00%;110,71%;92,86%;110,71%
520735 - Edealina;118,75%;84,38%;100,00%;112,50%;71,88%;106,25%;81,25%;118,75%;93,75%;121,88%;84,38%;84,38%;121,88%;84,38%;103,13%;84,38%;125,00%;100,00%;100,00%
520740 - Edéia;105,83%;90,83%;91,67%;115,00%;85,83%;92,50%;90,83%;102,50%;93,33%;108,33%;91,67%;105,00%;110,00%;91,67%;90,00%;100,83%;110,83%;88,33%;85,83%
520970 - Hidrolândia;86,36%;108,71%;102,27%;112,50%;96,21%;103,03%;107,20%;81,82%;103,03%;116,67%;108,71%;113,64%;128,79%;108,33%;114,02%;107,58%;121,59%;90,53%;87,88%
520995 - Indiara;91,22%;100,00%;87,84%;103,38%;84,46%;95,27%;98,65%;82,43%;94,59%;93,92%;100,00%;94,59%;91,89%;100,00%;91,22%;94,59%;99,32%;87,84%;81,76%
521170 - Jandaia;97,73%;84,09%;75,00%;88,64%;88,64%;72,73%;84,09%;93,18%;102,27%;100,00%;84,09%;106,82%;90,91%;84,09%;70,45%;104,55%;104,55%;77,27%;84,09%
521230 - Leopoldo de Bulhões;83,33%;106,06%;96,97%;96,97%;103,03%;101,52%;103,03%;77,27%;107,58%;109,09%;106,06%;131,82%;112,12%;106,06%;103,03%;116,67%;124,24%;89,39%;93,94%
521260 - Mairipotaba;107,69%;192,31%;130,77%;161,54%;153,85%;115,38%;192,31%;115,38%;146,15%;130,77%;192,31%;176,92%;130,77%;200,00%;146,15%;161,54%;146,15%;115,38%;123,08%
521530 - Orizona;94,48%;93,10%;88,28%;96,55%;77,93%;86,21%;93,10%;86,21%;96,55%;96,55%;93,10%;97,24%;95,17%;93,10%;88,97%;93,10%;115,86%;88,97%;85,52%
521710 - Piracanjuba;97,37%;122,37%;126,97%;139,47%;115,13%;133,55%;117,11%;90,79%;128,29%;151,97%;122,37%;126,97%;150,00%;119,74%;138,82%;121,71%;154,61%;132,24%;136,84%
521770 - Pontalina;79,70%;107,52%;124,06%;87,97%;115,04%;117,29%;106,02%;75,19%;106,77%;125,56%;107,52%;109,77%;125,56%;107,52%;121,80%;108,27%;133,08%;103,01%;109,02%
521839 - Professor Jamil;71,43%;114,29%;100,00%;80,95%;95,24%;109,52%;114,29%;66,67%;76,19%;100,00%;114,29%;95,24%;119,05%;114,29%;95,24%;90,48%;157,14%;109,52%;138,10%
522026 - São Miguel do Passa Quatro;77,27%;140,91%;177,27%;140,91%;159,09%;127,27%;140,91%;77,27%;122,73%;181,82%;140,91%;109,09%;181,82%;136,36%;177,27%;100,00%;190,91%;118,18%;95,45%
522045 - Senador Canedo;90,28%;86,05%;77,85%;84,27%;74,76%;69,07%;85,95%;88,19%;86,68%;81,19%;86,15%;95,82%;88,51%;88,51%;79,78%;90,28%;84,59%;68,50%;60,08%
522060 - Silvânia;77,73%;93,84%;75,36%;81,99%;75,36%;72,51%;93,36%;63,98%;87,20%;91,47%;93,84%;82,94%;97,16%;93,84%;83,41%;81,52%;100,00%;76,78%;63,98%
522190 - Varjão;85,71%;110,71%;114,29%;75,00%;85,71%;67,86%;107,14%;82,14%;96,43%;103,57%;110,71%;75,00%;100,00%;103,57%;103,57%;75,00%;110,71%;96,43%;85,71%
522200 - Vianópolis;92,23%;90,67%;63,21%;88,60%;73,58%;69,95%;90,67%;84,46%;93,78%;77,20%;90,67%;92,23%;73,06%;90,67%;65,28%;92,75%;78,24%;67,36%;63,21%
522205 - Vicentinópolis;96,46%;84,96%;77,88%;97,35%;69,91%;78,76%;84,96%;96,46%;94,69%;90,27%;84,96%;102,65%;91,15%;91,15%;89,38%;99,12%;89,38%;90,27%;76,11%
Totais;95,44%;89,55%;82,93%;97,54%;84,06%;83,31%;88,86%;91,83%;94,91%;103,18%;89,49%;90,20%;94,91%;87,05%;88,77%;89,11%;101,31%;82,50%;74,91%
520120 - Anhanguera;83,33%;100,00%;83,33%;100,00%;83,33%;66,67%;100,00%;83,33%;66,67%;116,67%;100,00%;50,00%;116,67%;100,00%;83,33%;50,00%;116,67%;83,33%;83,33%
520450 - Caldas Novas;94,90%;99,51%;85,38%;100,39%;87,24%;80,27%;98,04%;91,17%;106,18%;107,07%;99,31%;94,21%;95,58%;92,05%;87,34%;89,60%;99,31%;79,29%;67,22%
520480 - Campo Alegre de Goiás;95,31%;89,06%;112,50%;100,00%;95,31%;92,19%;89,06%;87,50%;100,00%;140,63%;89,06%;104,69%;142,19%;89,06%;115,63%;101,56%;131,25%;101,56%;87,50%
520510 - Catalão;94,79%;79,08%;72,35%;94,08%;79,98%;84,47%;78,99%;91,92%;86,09%;96,50%;79,08%;80,97%;87,70%;78,73%;86,80%;83,66%;98,65%;81,87%;80,70%
520590 - Corumbaíba;103,13%;112,50%;115,63%;104,69%;110,94%;117,19%;109,38%;100,00%;103,13%;129,69%;112,50%;109,38%;129,69%;112,50%;125,00%;107,81%;142,19%;103,13%;98,44%
520660 - Cumari;82,35%;47,06%;141,18%;100,00%;41,18%;135,29%;47,06%;82,35%;58,82%;135,29%;47,06%;88,24%;117,65%;47,06%;141,18%;76,47%;123,53%;105,88%;105,88%
520690 - Davinópolis;90,91%;86,36%;109,09%;109,09%;68,18%;118,18%;86,36%;86,36%;72,73%;109,09%;86,36%;90,91%;77,27%;77,27%;104,55%;100,00%;113,64%;109,09%;90,91%
520850 - Goiandira;105,26%;86,84%;100,00%;157,89%;100,00%;97,37%;86,84%;100,00%;92,11%;105,26%;86,84%;92,11%;100,00%;86,84%;92,11%;94,74%;110,53%;92,11%;92,11%
521010 - Ipameri;92,31%;80,59%;88,28%;102,56%;82,42%;93,04%;80,95%;90,48%;84,62%;101,10%;80,95%;83,15%;97,44%;80,22%;85,71%;80,95%;99,27%;90,11%;71,06%
521290 - Marzagão;130,00%;123,33%;123,33%;140,00%;103,33%;113,33%;116,67%;126,67%;103,33%;123,33%;123,33%;110,00%;126,67%;126,67%;126,67%;110,00%;133,33%;113,33%;113,33%
521480 - Nova Aurora;100,00%;62,50%;87,50%;93,75%;68,75%;87,50%;62,50%;100,00%;81,25%;125,00%;62,50%;100,00%;112,50%;62,50%;106,25%;93,75%;125,00%;81,25%;93,75%
521550 - Ouvidor;98,80%;104,82%;85,54%;104,82%;91,57%;89,16%;104,82%;98,80%;106,02%;108,43%;104,82%;102,41%;96,39%;102,41%;90,36%;96,39%;109,64%;98,80%;92,77%
