Município Residência;BCG;DTP;DTP (1° Reforço);dTpa Adulto;Febre Amarela;Hepatite A Infantil;Hepatite B;Hepatite B (< 30 Dias);Meningo C;Meningo C (1° Reforço);Penta (DTP/HepB/Hib);Pneumo 10;Pneumo 10 (1° Reforço);Polio Injetável (VIP);Polio Oral Bivalente;Rotavírus;Tríplice Viral - 1° Dose;Tríplice Viral - 2° Dose;Varicela
521640 - Paraúna;97,66%;96,09%;93,75%;108,59%;104,69%;98,44%;96,09%;101,56%;107,81%;94,53%;96,09%;102,34%;92,19%;96,88%;94,53%;102,34%;99,22%;79,69%;75,00%
521900 - Sanclerlândia;117,14%;131,43%;117,14%;107,14%;117,14%;115,71%;131,43%;110,00%;140,00%;158,57%;131,43%;127,14%;130,00%;135,71%;112,86%;120,00%;135,71%;121,43%;114,29%
522005 - São João da Paraúna;141,67%;175,00%;166,67%;158,33%;100,00%;183,33%;175,00%;133,33%;166,67%;141,67%;175,00%;125,00%;141,67%;183,33%;183,33%;125,00%;158,33%;108,33%;175,00%
522010 - São Luís de Montes Belos;94,96%;89,47%;74,34%;85,31%;80,04%;74,12%;89,47%;91,01%;80,70%;76,10%;89,47%;88,16%;77,19%;88,82%;72,81%;82,24%;83,77%;67,98%;48,68%
522150 - Turvânia;97,96%;85,71%;81,63%;95,92%;81,63%;81,63%;85,71%;95,92%;83,67%;91,84%;85,71%;79,59%;81,63%;87,76%;83,67%;77,55%;108,16%;61,22%;79,59%
Totais;95,32%;88,03%;70,60%;85,42%;80,67%;83,60%;87,76%;84,31%;94,14%;94,77%;87,76%;94,73%;81,62%;91,60%;74,64%;91,56%;99,37%;55,07%;56,54%
520085 - Americano do Brasil;91,03%;73,08%;69,23%;67,95%;70,51%;70,51%;73,08%;75,64%;84,62%;88,46%;73,08%;78,21%;88,46%;84,62%;82,05%;92,31%;93,59%;57,69%;42,31%
520215 - Araguapaz;108,33%;179,17%;127,08%;56,25%;150,00%;116,67%;179,17%;62,50%;181,25%;120,83%;179,17%;160,42%;122,92%;179,17%;120,83%;156,25%;118,75%;100,00%;58,33%
520250 - Aruanã;66,90%;70,42%;13,38%;96,48%;46,48%;67,61%;70,42%;51,41%;75,35%;63,38%;70,42%;79,58%;19,72%;69,72%;16,20%;76,76%;68,31%;26,06%;26,76%
520380 - Britânia;107,59%;86,08%;77,22%;69,62%;64,56%;86,08%;86,08%;103,80%;91,14%;87,34%;86,08%;96,20%;86,08%;87,34%;84,81%;93,67%;82,28%;54,43%;43,04%
520753 - Faina;136,54%;117,31%;88,46%;67,31%;117,31%;96,15%;117,31%;123,08%;119,23%;101,92%;117,31%;123,08%;109,62%;119,23%;96,15%;113,46%;117,31%;17,31%;55,77%
520890 - Goiás;91,13%;73,79%;63,71%;81,05%;60,08%;63,71%;73,79%;80,24%;73,79%;75,81%;73,79%;81,45%;79,44%;72,98%;64,52%;78,23%;76,61%;37,10%;46,37%
520929 - Guaraíta;76,47%;88,24%;64,71%;82,35%;35,29%;58,82%;88,24%;76,47%;94,12%;52,94%;88,24%;76,47%;52,94%;88,24%;52,94%;100,00%;58,82%;17,65%;41,18%
520960 - Heitoraí;97,06%;97,06%;58,82%;91,18%;88,24%;73,53%;97,06%;79,41%;100,00%;102,94%;97,06%;88,24%;100,00%;97,06%;55,88%;82,35%;100,00%;14,71%;44,12%
521040 - Itaberaí;106,64%;88,02%;83,26%;76,33%;87,16%;83,98%;88,02%;102,89%;106,06%;107,79%;88,02%;95,96%;89,32%;89,18%;85,57%;92,78%;97,11%;76,05%;72,58%
521100 - Itapirapuã;92,00%;88,00%;77,33%;77,33%;88,00%;76,00%;88,00%;84,00%;90,67%;98,67%;88,00%;93,33%;97,33%;85,33%;90,67%;88,00%;94,67%;26,67%;61,33%
521120 - Itapuranga;95,68%;77,08%;26,25%;86,38%;84,72%;81,40%;74,75%;86,05%;88,37%;92,69%;74,75%;95,02%;37,54%;90,37%;26,25%;92,36%;112,29%;55,81%;33,22%
521220 - Jussara;87,89%;91,03%;66,82%;83,86%;71,30%;82,96%;91,03%;72,20%;83,41%;78,03%;91,03%;93,27%;88,79%;91,03%;83,86%;88,79%;120,18%;16,14%;71,30%
521295 - Matrinchã;118,92%;135,14%;132,43%;94,59%;129,73%;135,14%;135,14%;91,89%;129,73%;135,14%;135,14%;129,73%;129,73%;132,43%;140,54%;132,43%;143,24%;118,92%;116,22%
521390 - Mossâmedes;104,88%;78,05%;82,93%;87,80%;78,05%;112,20%;78,05%;97,56%;78,05%;109,76%;78,05%;85,37%;102,44%;82,93%;107,32%;75,61%;104,88%;78,05%;80,49%
521400 - Mozarlândia;90,86%;116,75%;111,68%;141,12%;105,58%;120,81%;116,75%;80,20%;108,12%;125,38%;116,75%;119,80%;125,89%;118,78%;120,30%;110,66%;134,52%;74,62%;59,90%
521483 - Nova Crixás;72,04%;67,74%;77,42%;83,87%;62,37%;78,49%;67,74%;48,92%;72,04%;83,87%;67,74%;73,12%;78,49%;83,87%;69,35%;69,89%;82,26%;52,69%;48,39%
521925 - Santa Fé de Goiás;93,15%;95,89%;57,53%;87,67%;79,45%;58,90%;95,89%;84,93%;91,78%;67,12%;95,89%;97,26%;71,23%;97,26%;61,64%;95,89%;78,08%;49,32%;49,32%
;80,86%;80,90%;72,91%;79,42%;70,83%;76,55%;80,77%;77,46%;83,02%;79,81%;80,74%;87,14%;76,10%;81,34%;72,51%;83,24%;83,77%;50,96%;52,55%
Totais;95,56%;88,82%;81,60%;80,71%;76,33%;82,25%;88,82%;93,55%;86,86%;87,99%;88,82%;92,37%;88,88%;88,34%;80,83%;88,76%;97,28%;43,49%;63,20%
520357 - Bonópolis;96,00%;110,00%;96,00%;104,00%;94,00%;96,00%;110,00%;84,00%;110,00%;106,00%;110,00%;116,00%;98,00%;110,00%;94,00%;114,00%;102,00%;84,00%;66,00%
520465 - Campinaçu;87,23%;87,23%;76,60%;80,85%;74,47%;74,47%;87,23%;82,98%;89,36%;89,36%;87,23%;100,00%;76,60%;80,85%;74,47%;95,74%;68,09%;59,57%;65,96%
520750 - Estrela do Norte;102,70%;86,49%;108,11%;78,38%;86,49%;110,81%;86,49%;102,70%;81,08%;110,81%;86,49%;72,97%;100,00%;78,38%;102,70%;75,68%;105,41%;105,41%;178,38%
520810 - Formoso;80,36%;92,86%;58,93%;57,14%;89,29%;75,00%;92,86%;105,36%;94,64%;75,00%;92,86%;89,29%;73,21%;91,07%;58,93%;89,29%;87,50%;55,36%;73,21%
521308 - Minaçu;102,14%;92,78%;82,89%;78,88%;75,94%;79,41%;92,78%;99,73%;97,86%;84,76%;92,78%;95,99%;93,05%;90,91%;81,82%;93,05%;110,96%;38,77%;46,79%
521377 - Montividiu do Norte;69,23%;86,54%;84,62%;80,77%;57,69%;88,46%;86,54%;63,46%;84,62%;101,92%;86,54%;78,85%;100,00%;86,54%;86,54%;75,00%;100,00%;75,00%;136,54%
521405 - Mundo Novo;115,19%;120,25%;93,67%;107,59%;97,47%;81,01%;120,25%;107,59%;108,86%;106,33%;120,25%;100,00%;110,13%;118,99%;93,67%;97,47%;102,53%;78,48%;73,42%
521410 - Mutunópolis;103,92%;90,20%;109,80%;117,65%;107,84%;123,53%;90,20%;94,12%;90,20%;98,04%;90,20%;86,27%;80,39%;90,20%;113,73%;84,31%;107,84%;115,69%;154,90%
521525 - Novo Planalto;74,42%;95,35%;106,98%;79,07%;81,40%;111,63%;95,35%;83,72%;104,65%;116,28%;95,35%;100,00%;23,26%;95,35%;102,33%;106,98%;113,95%;97,67%;90,70%
521800 - Porangatu;92,28%;77,20%;71,99%;79,71%;64,99%;73,97%;77,20%;89,41%;70,56%;76,12%;77,20%;84,92%;81,51%;78,82%;72,35%;79,35%;85,82%;13,64%;48,11%
521960 - Santa Tereza de Goiás;89,47%;86,84%;100,00%;100,00%;78,95%;97,37%;86,84%;100,00%;81,58%;86,84%;86,84%;81,58%;86,84%;86,84%;86,84%;78,95%;97,37%;89,47%;92,11%
522020 - São Miguel do Araguaia;100,00%;88,73%;78,87%;67,61%;77,46%;81,69%;88,73%;96,83%;88,03%;91,55%;88,73%;100,00%;97,18%;88,03%;78,17%;95,77%;93,66%;46,83%;53,52%
522145 - Trombas;77,27%;145,45%;131,82%;104,55%;150,00%;113,64%;145,45%;77,27%;122,73%;172,73%;145,45%;113,64%;172,73%;145,45%;127,27%;104,55%;181,82%;22,73%;90,91%
Totais;69,00%;72,74%;67,57%;74,08%;63,42%;71,71%;72,70%;67,84%;75,16%;73,36%;72,68%;80,98%;69,02%;73,28%;67,45%;76,47%;74,95%;45,02%;46,93%
520010 - Abadiânia;109,68%;104,30%;106,45%;83,87%;101,61%;113,44%;104,30%;108,60%;118,28%;104,30%;104,30%;113,98%;107,53%;105,91%;108,60%;108,06%;132,26%;82,80%;155,91%
520030 - Alexânia;99,75%;86,15%;88,66%;94,21%;89,42%;93,70%;86,15%;97,23%;85,39%;95,21%;86,15%;88,16%;97,48%;85,89%;90,68%;85,39%;109,07%;34,01%;64,74%
520110 - Anápolis;60,64%;66,70%;60,74%;67,71%;56,52%;65,31%;66,65%;60,40%;68,73%;66,96%;66,62%;75,54%;61,17%;67,25%;60,85%;71,37%;66,86%;41,90%;37,56%
520485 - Campo Limpo de Goiás;114,88%;104,96%;94,21%;111,57%;96,69%;90,08%;104,96%;104,96%;118,18%;101,65%;104,96%;110,74%;102,48%;105,79%;86,78%;103,31%;104,96%;75,21%;66,94%
520551 - Cocalzinho de Goiás;86,99%;95,53%;104,07%;111,79%;91,46%;104,47%;95,53%;78,46%;99,19%;102,03%;95,53%;107,32%;99,59%;95,93%;100,00%;101,63%;103,25%;89,43%;78,46%
520580 - Corumbá de Goiás;85,71%;83,67%;109,18%;107,14%;81,63%;114,29%;83,67%;74,49%;79,59%;102,04%;83,67%;78,57%;104,08%;83,67%;110,20%;71,43%;104,08%;35,71%;74,49%
520815 - Gameleira de Goiás;102,63%;102,63%;71,05%;107,89%;57,89%;68,42%;102,63%;102,63%;81,58%;65,79%;102,63%;97,37%;71,05%;100,00%;71,05%;86,84%;78,95%;15,79%;60,53%
520840 - Goianápolis;120,21%;104,79%;90,43%;92,02%;96,28%;91,49%;104,79%;120,74%;119,15%;96,28%;104,79%;118,09%;92,02%;105,85%;86,17%;109,57%;98,94%;74,47%;103,19%
521730 - Pirenópolis;87,54%;81,31%;66,56%;87,87%;64,59%;69,18%;81,31%;85,90%;84,26%;76,39%;81,31%;86,89%;78,69%;82,30%;66,89%;84,26%;77,05%;26,89%;47,87%
522119 - Terezópolis de Goiás;78,31%;116,87%;113,25%;90,36%;108,43%;114,46%;116,87%;62,65%;106,02%;128,92%;116,87%;122,89%;127,71%;116,87%;110,84%;104,82%;125,30%;80,72%;83,13%
Totais;96,27%;97,38%;82,27%;93,34%;84,10%;85,62%;96,69%;89,40%;98,32%;93,13%;96,59%;102,89%;88,41%;97,74%;81,06%;99,95%;94,75%;65,74%;63,64%
520495 - Campos Verdes;97,50%;125,00%;137,50%;115,00%;120,00%;137,50%;125,00%;70,00%;112,50%;140,00%;125,00%;125,00%;135,00%;127,50%;125,00%;107,50%;140,00%;107,50%;90,00%
520500 - Carmo do Rio Verde;114,29%;113,19%;83,52%;105,49%;90,11%;104,40%;113,19%;100,00%;105,49%;92,31%;113,19%;120,88%;81,32%;113,19%;85,71%;126,37%;87,91%;65,93%;84,62%
520540 - Ceres;88,54%;88,54%;76,68%;85,38%;75,49%;84,19%;88,54%;87,75%;95,26%;83,79%;88,54%;97,23%;73,91%;87,75%;75,49%;95,65%;80,24%;58,89%;65,61%
520640 - Crixás;88,64%;94,09%;77,73%;85,00%;81,36%;71,82%;94,55%;81,82%;93,64%;91,82%;93,64%;94,55%;90,91%;92,73%;77,73%;90,00%;93,64%;50,00%;37,73%
520945 - Guarinos;100,00%;125,00%;162,50%;150,00%;137,50%;162,50%;112,50%;56,25%;125,00%;156,25%;112,50%;118,75%;156,25%;125,00%;150,00%;112,50%;150,00%;162,50%;125,00%
521015 - Ipiranga de Goiás;111,11%;94,44%;58,33%;83,33%;58,33%;66,67%;94,44%;113,89%;91,67%;63,89%;94,44%;100,00%;61,11%;97,22%;58,33%;100,00%;61,11%;33,33%;50,00%
521090 - Itapaci;81,57%;91,76%;67,06%;91,76%;78,04%;73,33%;87,06%;68,63%;78,82%;81,96%;87,84%;99,22%;83,92%;92,55%;63,92%;93,73%;92,16%;66,27%;54,12%
521385 - Morro Agudo de Goiás;115,79%;97,37%;84,21%;92,11%;89,47%;86,84%;97,37%;94,74%;115,79%;76,32%;97,37%;113,16%;68,42%;100,00%;86,84%;113,16%;73,68%;2,63%;71,05%
521470 - Nova América;121,43%;82,14%;57,14%;135,71%;78,57%;60,71%;82,14%;103,57%;89,29%;64,29%;82,14%;100,00%;60,71%;82,14%;57,14%;96,43%;67,86%;28,57%;64,29%
521486 - Nova Glória;91,78%;83,56%;89,04%;102,74%;73,97%;101,37%;80,82%;50,68%;91,78%;108,22%;80,82%;98,63%;112,33%;82,19%;83,56%;97,26%;116,44%;80,82%;64,38%
521690 - Pilar de Goiás;108,33%;108,33%;104,17%;112,50%;91,67%;95,83%;108,33%;108,33%;125,00%;129,17%;108,33%;116,67%;116,67%;120,83%;100,00%;112,50%;116,67%;100,00%;91,67%
521860 - Rialma;86,42%;74,07%;63,58%;88,27%;59,88%;75,93%;74,07%;83,33%;82,72%;79,63%;74,07%;85,19%;77,16%;73,46%;64,81%;82,72%;80,25%;64,20%;56,17%
521870 - Rianápolis;105,00%;132,50%;107,50%;140,00%;100,00%;112,50%;132,50%;85,00%;122,50%;117,50%;132,50%;120,00%;80,00%;135,00%;95,00%;110,00%;135,00%;82,50%;65,00%
521890 - Rubiataba;109,81%;116,36%;101,40%;87,85%;103,74%;94,86%;116,36%;107,01%;115,89%;116,36%;116,36%;108,88%;109,81%;115,89%;102,34%;108,41%;111,68%;93,46%;61,68%
521935 - Santa Isabel;108,57%;131,43%;102,86%;105,71%;114,29%;100,00%;131,43%;105,71%;125,71%;120,00%;131,43%;125,71%;114,29%;128,57%;102,86%;122,86%;120,00%;71,43%;128,57%
521970 - Santa Terezinha de Goiás;93,64%;90,91%;73,64%;89,09%;72,73%;64,55%;90,91%;102,73%;100,00%;69,09%;90,91%;100,91%;72,73%;91,82%;73,64%;96,36%;74,55%;60,00%;46,36%
522015 - São Luiz do Norte;104,11%;104,11%;93,15%;93,15%;102,74%;102,74%;104,11%;113,70%;113,70%;95,89%;104,11%;119,18%;91,78%;106,85%;91,78%;112,33%;101,37%;15,07%;78,08%
522028 - São Patrício;67,65%;58,82%;29,41%;35,29%;41,18%;32,35%;58,82%;61,76%;76,47%;44,12%;58,82%;85,29%;32,35%;61,76%;38,24%;82,35%;32,35%;11,76%;38,24%
522157 - Uirapuru;132,00%;144,00%;128,00%;136,00%;152,00%;136,00%;152,00%;128,00%;144,00%;156,00%;144,00%;120,00%;132,00%;144,00%;120,00%;132,00%;168,00%;172,00%;180,00%
522170 - Uruana;106,47%;98,56%;90,65%;97,12%;88,49%;93,53%;98,56%;105,04%;97,84%;100,72%;98,56%;106,47%;95,68%;100,72%;89,21%;103,60%;105,04%;76,26%;72,66%
Totais;89,37%;87,13%;77,08%;88,28%;73,75%;78,68%;87,07%;88,80%;87,52%;81,75%;87,13%;89,69%;81,11%;87,52%;76,38%;86,75%;88,16%;55,63%;56,79%
520055 - Alto Horizonte;117,05%;86,05%;74,42%;92,25%;74,42%;77,52%;86,05%;113,18%;89,15%;85,27%;86,05%;94,57%;81,40%;87,60%;75,19%;93,02%;77,52%;65,89%;54,26%
520082 - Amaralina;79,31%;79,31%;93,10%;106,90%;82,76%;82,76%;79,31%;89,66%;86,21%;79,31%;79,31%;72,41%;75,86%;79,31%;93,10%;68,97%;82,76%;68,97%;89,66%
520470 - Campinorte;100,00%;93,67%;102,53%;86,71%;81,01%;96,20%;93,67%;99,37%;85,44%;86,71%;93,67%;97,47%;96,84%;91,14%;100,63%;94,30%;101,90%;68,99%;54,43%
520552 - Colinas do Sul;70,59%;56,86%;70,59%;121,57%;64,71%;74,51%;56,86%;84,31%;62,75%;68,63%;56,86%;80,39%;70,59%;56,86%;72,55%;80,39%;107,84%;31,37%;74,51%
520980 - Hidrolina;102,27%;79,55%;68,18%;72,73%;47,73%;63,64%;79,55%;102,27%;100,00%;65,91%;79,55%;90,91%;68,18%;81,82%;59,09%;88,64%;79,55%;45,45%;56,82%
521280 - Mara Rosa;83,06%;92,74%;85,48%;75,00%;76,61%;79,84%;92,74%;70,16%;88,71%;93,55%;92,74%;87,10%;91,94%;92,74%;83,87%;86,29%;95,16%;63,71%;83,87%
521460 - Niquelândia;84,62%;97,88%;79,84%;88,33%;82,23%;85,68%;97,61%;82,76%;93,90%;90,98%;97,88%;94,16%;89,12%;97,35%;79,84%;92,84%;104,24%;48,01%;53,58%
521487 - Nova Iguaçu de Goiás;71,79%;79,49%;89,74%;69,23%;51,28%;89,74%;79,49%;71,79%;89,74%;76,92%;79,49%;79,49%;84,62%;79,49%;89,74%;74,36%;87,18%;89,74%;82,05%
522160 - Uruaçu;87,23%;81,83%;67,27%;89,20%;69,56%;70,38%;81,83%;88,87%;84,62%;74,30%;81,83%;86,58%;71,69%;83,31%;66,61%;81,83%;74,80%;53,03%;49,75%
Totais;89,92%;83,72%;73,30%;78,36%;77,76%;79,08%;83,59%;79,34%;89,88%;82,40%;83,50%;88,52%;76,19%;84,61%;73,13%;84,95%;90,35%;60,16%;51,02%
520320 - Barro Alto;90,68%;88,20%;79,50%;101,86%;85,09%;83,23%;88,20%;82,61%;103,11%;102,48%;88,20%;103,11%;101,86%;90,68%;81,99%;88,20%;103,73%;73,91%;48,45%
520860 - Goianésia;96,14%;82,26%;82,06%;72,90%;85,63%;83,22%;82,45%;87,37%;88,91%;89,01%;82,16%;88,24%;85,25%;83,22%;81,87%;86,50%;91,90%;67,21%;52,07%
521060 - Itaguaru;104,17%;64,58%;29,17%;100,00%;58,33%;64,58%;64,58%;97,92%;81,25%;68,75%;64,58%;81,25%;41,67%;66,67%;29,17%;79,17%;66,67%;58,33%;60,42%
521180 - Jaraguá;82,19%;83,78%;58,19%;84,58%;64,23%;68,20%;82,99%;59,14%;86,17%;63,43%;83,15%;84,10%;55,17%;84,90%;57,39%;81,88%;80,76%;52,78%;43,40%
521305 - Mimoso de Goiás;87,50%;75,00%;54,17%;70,83%;54,17%;54,17%;75,00%;95,83%;87,50%;66,67%;75,00%;83,33%;62,50%;75,00%;58,33%;79,17%;87,50%;4,17%;41,67%
521560 - Padre Bernardo;80,05%;81,61%;72,80%;61,14%;73,58%;74,87%;81,61%;80,83%;89,38%;79,53%;81,61%;87,31%;77,72%;81,61%;72,80%;81,61%;87,31%;43,78%;52,33%
521945 - Santa Rita do Novo Destino;82,35%;117,65%;123,53%;123,53%;100,00%;152,94%;117,65%;76,47%;70,59%;141,18%;117,65%;82,35%;147,06%;111,76%;129,41%;58,82%;170,59%;88,24%;94,12%
522230 - Vila Propício;122,00%;126,00%;100,00%;138,00%;116,00%;150,00%;126,00%;120,00%;134,00%;142,00%;126,00%;124,00%;74,00%;126,00%;94,00%;124,00%;156,00%;108,00%;104,00%
;80,12%;86,22%;76,93%;84,89%;74,83%;80,69%;86,22%;76,66%;88,48%;83,48%;86,18%;91,56%;82,76%;86,76%;76,01%;88,83%;91,67%;48,62%;52,94%
Totais;72,41%;86,18%;78,23%;84,99%;74,90%;80,67%;86,16%;67,98%;88,63%;84,66%;86,13%;91,64%;84,19%;86,62%;76,60%;88,40%;91,61%;42,32%;51,10%
520140 - Aparecida de Goiânia;65,88%;86,58%;78,84%;82,07%;75,10%;81,16%;86,53%;59,39%;88,64%;83,34%;86,51%;91,84%;84,45%;86,61%;76,45%;87,98%;87,99%;38,60%;47,10%
520180 - Aragoiânia;78,64%;109,71%;110,68%;123,30%;94,17%;112,62%;109,71%;58,25%;96,12%;110,68%;109,71%;100,00%;77,67%;108,74%;113,59%;100,00%;105,83%;93,20%;80,58%
520330 - Bela Vista de Goiás;72,14%;78,33%;62,86%;69,29%;65,48%;79,05%;78,10%;56,43%;79,76%;72,62%;78,10%;86,19%;70,95%;80,95%;60,71%;82,86%;87,86%;59,05%;54,76%
520355 - Bonfinópolis;110,32%;83,33%;86,51%;88,10%;84,92%;74,60%;83,33%;107,94%;76,19%;88,10%;83,33%;84,92%;95,24%;86,51%;86,51%;82,54%;153,17%;7,94%;60,32%
520455 - Caldazinha;123,53%;108,82%;117,65%;91,18%;94,12%;120,59%;108,82%;129,41%;120,59%;111,76%;108,82%;126,47%;117,65%;105,88%;123,53%;120,59%;117,65%;11,76%;67,65%
520545 - Cezarina;134,62%;137,18%;108,97%;82,05%;125,64%;117,95%;137,18%;130,77%;146,15%;139,74%;137,18%;142,31%;126,92%;135,90%;108,97%;139,74%;152,56%;44,87%;84,62%
520630 - Cristianópolis;109,09%;93,18%;56,82%;56,82%;54,55%;61,36%;93,18%;102,27%;88,64%;61,36%;93,18%;106,82%;59,09%;86,36%;50,00%;100,00%;63,64%;13,64%;45,45%
520650 - Cromínia;96,97%;72,73%;96,97%;75,76%;78,79%;103,03%;72,73%;93,94%;109,09%;100,00%;72,73%;78,79%;90,91%;69,70%;96,97%;78,79%;90,91%;93,94%;78,79%
520735 - Edealina;145,16%;132,26%;106,45%;129,03%;116,13%;122,58%;132,26%;151,61%;125,81%;122,58%;132,26%;145,16%;116,13%;125,81%;116,13%;148,39%;125,81%;70,97%;112,90%
520740 - Edéia;130,07%;115,38%;97,20%;137,76%;97,90%;102,80%;116,08%;130,77%;109,79%;102,10%;115,38%;111,19%;98,60%;111,19%;95,80%;110,49%;146,15%;33,57%;79,72%
520970 - Hidrolândia;96,99%;89,32%;83,01%;88,22%;73,15%;80,55%;89,32%;86,30%;97,26%;82,74%;89,32%;98,90%;81,64%;90,41%;80,27%;96,44%;108,49%;23,01%;56,16%
520995 - Indiara;94,27%;89,06%;89,58%;96,35%;79,69%;87,50%;89,06%;86,98%;94,79%;92,19%;89,06%;98,44%;96,88%;90,10%;90,63%;96,88%;107,81%;27,60%;63,02%
521170 - Jandaia;104,17%;87,50%;93,75%;83,33%;85,42%;85,42%;87,50%;102,08%;91,67%;81,25%;87,50%;89,58%;75,00%;87,50%;87,50%;93,75%;81,25%;75,00%;79,17%
521230 - Leopoldo de Bulhões;80,43%;96,74%;86,96%;101,09%;81,52%;92,39%;96,74%;68,48%;83,70%;88,04%;96,74%;92,39%;98,91%;93,48%;83,70%;89,13%;106,52%;59,78%;69,57%
521260 - Mairipotaba;100,00%;94,74%;84,21%;126,32%;89,47%;84,21%;94,74%;84,21%;105,26%;110,53%;94,74%;121,05%;110,53%;100,00%;89,47%;131,58%;131,58%;78,95%;94,74%
521530 - Orizona;86,63%;71,12%;80,21%;57,75%;73,80%;78,07%;71,12%;59,89%;83,96%;84,49%;71,12%;71,12%;80,75%;71,66%;81,28%;72,19%;102,67%;8,56%;54,01%
521710 - Piracanjuba;115,53%;115,05%;98,54%;112,14%;109,22%;99,51%;115,05%;95,15%;103,88%;114,08%;115,05%;116,50%;115,05%;116,02%;101,46%;115,05%;121,84%;96,12%;74,27%
521770 - Pontalina;53,85%;67,42%;64,71%;83,26%;55,66%;64,71%;67,42%;50,68%;68,78%;67,42%;67,42%;70,59%;66,52%;68,33%;64,71%;71,49%;67,87%;49,32%;53,39%
521839 - Professor Jamil;70,97%;100,00%;87,10%;77,42%;87,10%;83,87%;100,00%;64,52%;90,32%;109,68%;100,00%;90,32%;106,45%;100,00%;83,87%;90,32%;106,45%;58,06%;54,84%
522026 - São Miguel do Passa Quatro;114,29%;142,86%;111,43%;91,43%;120,00%;125,71%;142,86%;94,29%;142,86%;134,29%;142,86%;128,57%;128,57%;148,57%;111,43%;134,29%;137,14%;88,57%;85,71%
522045 - Senador Canedo;64,42%;78,41%;70,76%;88,08%;67,41%;72,16%;78,50%;74,54%;83,99%;82,28%;78,41%;85,44%;78,80%;79,77%;69,13%;81,66%;85,75%;47,14%;45,47%
522060 - Silvânia;83,65%;85,17%;62,74%;73,00%;74,90%;69,58%;85,17%;78,33%;83,65%;74,14%;85,17%;93,54%;75,67%;86,31%;68,06%;92,40%;81,75%;43,73%;68,44%
522190 - Varjão;118,18%;112,12%;109,09%;90,91%;133,33%;106,06%;112,12%;103,03%;109,09%;112,12%;112,12%;124,24%;109,09%;115,15%;93,94%;121,21%;112,12%;96,97%;96,97%
522200 - Vianópolis;102,09%;81,68%;94,76%;110,47%;68,06%;98,95%;81,68%;93,72%;86,91%;95,81%;81,68%;88,48%;91,62%;82,20%;94,24%;89,01%;87,96%;80,63%;69,63%
522205 - Vicentinópolis;107,30%;99,27%;70,80%;92,70%;82,48%;79,56%;99,27%;94,89%;98,54%;99,27%;99,27%;104,38%;96,35%;103,65%;77,37%;100,00%;125,55%;15,33%;56,93%
Totais;96,82%;84,92%;78,74%;94,00%;77,34%;83,17%;84,92%;94,87%;90,35%;85,24%;84,92%;92,85%;87,47%;86,34%;80,02%;90,65%;91,50%;59,58%;55,18%
520120 - Anhanguera;71,43%;71,43%;128,57%;114,29%;71,43%;128,57%;71,43%;71,43%;85,71%;114,29%;71,43%;128,57%;142,86%;71,43%;142,86%;128,57%;142,86%;128,57%;142,86%
520450 - Caldas Novas;107,16%;87,70%;72,45%;97,98%;79,77%;85,37%;87,70%;112,06%;96,19%;91,44%;87,70%;101,79%;93,46%;91,52%;80,31%;95,33%;92,45%;71,52%;50,19%
520480 - Campo Alegre de Goiás;86,02%;97,85%;83,87%;89,25%;75,27%;81,72%;97,85%;79,57%;103,23%;82,80%;97,85%;98,92%;83,87%;98,92%;86,02%;91,40%;91,40%;66,67%;54,84%
520510 - Catalão;90,78%;81,12%;80,26%;92,15%;74,28%;78,89%;81,12%;86,17%;81,63%;75,65%;81,12%;82,78%;80,69%;81,05%;77,02%;86,17%;92,36%;43,88%;54,11%
520590 - Corumbaíba;111,22%;110,20%;109,18%;105,10%;101,02%;112,24%;110,20%;98,98%;110,20%;102,04%;110,20%;107,14%;106,12%;110,20%;104,08%;104,08%;96,94%;86,73%;87,76%
520660 - Cumari;66,67%;78,79%;51,52%;69,70%;78,79%;54,55%;78,79%;54,55%;81,82%;72,73%;78,79%;66,67%;66,67%;78,79%;57,58%;72,73%;72,73%;39,39%;48,48%
520690 - Davinópolis;131,58%;142,11%;126,32%;105,26%;147,37%;126,32%;142,11%;105,26%;115,79%;115,79%;142,11%;121,05%;136,84%;136,84%;131,58%;121,05%;136,84%;94,74%;100,00%
520850 - Goiandira;110,42%;83,33%;93,75%;120,83%;72,92%;104,17%;83,33%;95,83%;83,33%;95,83%;83,33%;95,83%;93,75%;85,42%;100,00%;93,75%;104,17%;89,58%;89,58%
521010 - Ipameri;94,60%;86,03%;85,40%;103,49%;78,10%;84,13%;86,03%;88,57%;93,97%;83,81%;86,03%;98,41%;85,40%;87,94%;86,35%;92,70%;86,03%;67,62%;67,62%
521290 - Marzagão;114,71%;123,53%;123,53%;117,65%;141,18%;123,53%;123,53%;111,76%;150,00%;132,35%;123,53%;152,94%;135,29%;126,47%;117,65%;135,29%;123,53%;76,47%;76,47%
521480 - Nova Aurora;96,15%;76,92%;69,23%;88,46%;107,69%;92,31%;76,92%;84,62%;88,46%;88,46%;76,92%;80,77%;96,15%;76,92%;65,38%;84,62%;161,54%;26,92%;76,92%
521550 - Ouvidor;98,92%;84,95%;76,34%;115,05%;81,72%;89,25%;84,95%;94,62%;101,08%;86,02%;84,95%;89,25%;91,40%;84,95%;76,34%;95,70%;98,92%;51,61%;59,14%
